Rescue_ID,Date_Caught,Researcher,CaptureSite,ForagingGround,CaptureMethod,Fisher,LandingSite,Species,ReleaseSite,Tag_1,Tag_2,Tag_3,Lost_Tags,T_Number,CCL_cm,CCW_cm,Weight_Kg,Sex,TurtleCharacteristics,Status,Date_Release,Release_Admiss_Notes,SpecialRemarks,PCVNumber,Expenditure
1998_RE_0001,4/14/1998,researcher_12,site_110,creek,net,fisher_619,site_58,species_1,site_80,Missing data,None,NA,NA,NA,63.5,58.5,NA,Unknown,NA,Released,4/14/1998,NA,NA,NA,NA
1998_RE_0002,7/7/1998,researcher_4,not_recorded,ocean,longline,fisher_522,site_22,species_1,not_recorded,NotTagged_0002,None,NA,NA,NA,48.5,37,NA,NA,1B-1LLS,NA,NA,NA,NA,NA,NA
1998_RE_0003,8/3/1998,NA,site_12,creek,net,fisher_1254,not_recorded,species_1,site_109,NotTagged_0003,None,NA,NA,NA,44.5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998_RE_0004,8/7/1998,researcher_12,site_110,creek,net,fisher_360,not_recorded,species_2,site_113,NotTagged_0004,None,NA,NA,NA,34.5,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998_RE_0005,9/25/1998,researcher_17,not_recorded,creek,collected floater,fisher_865,site_8,species_3,site_109,NotTagged_0005,None,NA,NA,NA,68.5,63.5,NA,NA,Bs on C+ old panga wounds,NA,NA,Found trapped in mangroves,NA,NA,NA
1998_RE_0006,9/26/1998,researcher_17,not_recorded,creek,net,fisher_130,site_8,species_1,not_recorded,NotTagged_0006,None,NA,NA,NA,34,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998_RE_0007,10/20/1998,researcher_17,not_recorded,creek,net,fisher_619,site_8,species_1,not_recorded,NotTagged_0007,None,NA,NA,NA,47,43,NA,NA,1B Lside,NA,NA,NA,NA,NA,NA
1998_RE_0008,11/7/1998,not_recorded,site_58,creek,net,fisher_217,site_8,species_1,not_recorded,NotTagged_0008,None,NA,NA,NA,39.5,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998_RE_0009,11/12/1998,not_recorded,not_recorded,creek,net,fisher_217,site_8,species_1,not_recorded,NotTagged_0009,None,NA,NA,NA,46,43,NA,NA,9 Bs,NA,NA,NA,NA,NA,NA
1998_RE_0010,11/12/1998,not_recorded,not_recorded,creek,net,fisher_929,site_8,species_1,not_recorded,NotTagged_0010,None,NA,NA,NA,38,35.5,NA,NA,LRF-piece missing,NA,NA,NA,NA,NA,NA
1998_RE_0011,11/18/1998,not_recorded,site_33,creek,net,fisher_529,not_recorded,species_1,not_recorded,NotTagged_0011,None,NA,NA,NA,43,38,NA,NA,top centre of C-crack+ 3Bs on C,NA,NA,NA,NA,NA,NA
1998_RE_0012,11/19/1998,not_recorded,site_33,creek,net,fisher_867,not_recorded,species_1,not_recorded,NotTagged_0012,None,NA,NA,NA,NA,NA,NA,NA,sm Bs on rear of C,NA,NA,NA,NA,NA,NA
1998_RE_0013,11/24/1998,researcher_11,site_113,ocean,net,fisher_90,not_recorded,species_1,site_110,NotTagged_0013,None,NA,NA,NA,43,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998_RE_0014,11/25/1998,researcher_17,site_33,creek,net,fisher_85,not_recorded,species_1,not_recorded,NotTagged_0014,None,NA,NA,NA,46,43,NA,NA,Bs-2RLS & 4LLS,NA,NA,NA,NA,NA,NA
1998_RE_0015,12/5/1998,researcher_12,site_110,creek,net,fisher_861,not_recorded,species_1,not_recorded,NotTagged_0015,None,NA,NA,NA,44.5,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998_RE_0016,12/10/1998,researcher_6,not_recorded,creek,net,fisher_696,not_recorded,species_1,not_recorded,NotTagged_0016,None,NA,NA,NA,43,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0001,3/8/1999,researcher_6,site_58,creek,net,fisher_929,not_recorded,species_1,site_116,NotTagged_0017,None,NA,NA,NA,56,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0002,3/14/1999,researcher_17,site_58,creek,net,fisher_1182,not_recorded,species_1,site_110,NotTagged_0018,None,NA,NA,NA,37,35.5,NA,NA,2Bs front scute& 2Bs-4LLS& 1B each rear flips,NA,NA,NA,NA,NA,NA
1999_RE_0003,3/16/1999,researcher_6,site_110,creek,net,fisher_751,not_recorded,species_1,site_110,NotTagged_0019,None,NA,NA,NA,43,40.5,NA,NA,1B-head& 2Bs-1CS& Bs-1LLS & 2LLS& 2Bs-Lflip,NA,NA,NA,NA,NA,NA
1999_RE_0004,3/16/1999,researcher_17,site_12,creek,net,fisher_122,not_recorded,species_1,site_97,NotTagged_0020,None,NA,NA,NA,42,38,NA,NA,many smBs,NA,NA,NA,NA,NA,NA
1999_RE_0005,3/24/1999,researcher_6,site_58,creek,net,fisher_1380,not_recorded,species_1,not_recorded,NotTagged_0021,None,NA,NA,NA,48,39.5,NA,NA,1B-1LLS & 1RLS & 3LLS& 2Bs-5CS,NA,NA,NA,NA,NA,NA
1999_RE_0006,4/3/1999,researcher_17,site_110,creek,net,fisher_122,not_recorded,species_1,site_110,NotTagged_0022,None,NA,NA,NA,38,37,NA,NA,Bs-2RLS& smBs-4CS& FRflip bent&,NA,NA,NA,NA,NA,NA
1999_RE_0007,4/28/1999,researcher_4,not_recorded,not_recorded,net,fisher_98,site_8,species_1,site_88,NotTagged_0023,None,NA,NA,NA,56,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0008,5/3/1999,researcher_17,site_110,creek,net,fisher_122,site_8,species_1,site_110,NotTagged_0024,None,NA,NA,NA,48,43,NA,NA,Bs on shell,NA,NA,NA,NA,NA,NA
1999_RE_0009,5/8/1999,researcher_17,site_58,creek,net,fisher_202,not_recorded,species_1,site_87,NotTagged_0025,None,NA,NA,NA,43,40.5,NA,NA,B-Lside head& 5Bs on shell,NA,NA,NA,NA,NA,NA
1999_RE_0010,5/14/1999,researcher_4,not_recorded,not_recorded,net,fisher_619,site_8,species_1,site_90,NotTagged_0026,None,NA,NA,NA,43,38,NA,NA,Bs-1CS & 2CS,NA,NA,NA,NA,NA,NA
1999_RE_0011,5/22/1999,researcher_17,site_58,creek,net,fisher_122,not_recorded,species_1,site_110,H381,None,NA,NA,NA,40.5,40.5,NA,NA,Bs on shell& B-Lside of jaw,NA,NA,NA,NA,NA,NA
1999_RE_0012,5/24/1999,researcher_17,site_110,creek,not_recorded,fisher_153,not_recorded,species_2,site_110,NotTagged_0027,None,NA,NA,NA,6.25,6.25,NA,NA,RRflip 2 chunks missing,NA,NA,NA,NA,NA,NA
1999_RE_0013,5/24/1999,researcher_17,site_58,creek,net,fisher_929,site_8,species_2,site_113,H382,None,NA,NA,NA,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0014,6/24/1999,researcher_17,site_8,creek,net,fisher_266,not_recorded,species_1,site_113,H383,None,NA,NA,NA,39,39,NA,NA,SmBs-2LLS& 3Bs Lprefrontal& 1B-each rear flip& 1B-9Lmarginal& 3B- rear marginal,NA,NA,NA,NA,NA,NA
1999_RE_0015,6/25/1999,researcher_17,site_33,creek,net,fisher_213,not_recorded,species_1,site_113,H384,None,NA,NA,NA,44.5,44,NA,NA,"RFflip ""broken' third way from shoulder& Bs-Fflips & R of face & 3RM & 11 LM",NA,NA,NA,NA,NA,NA
1999_RE_0016,7/13/1999,researcher_17,site_58,creek,net,fisher_1407,not_recorded,species_1,site_113,H385,None,NA,NA,NA,42,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999_RE_0017,7/16/1999,researcher_17,site_58,creek,net,fisher_792,not_recorded,species_1,site_106,H386,None,NA,NA,NA,65,57,NA,NA,1B-nose & LFflip,NA,NA,NA,NA,NA,NA
1999_RE_0018,7/19/1999,researcher_17,site_33,creek,net,fisher_1207,not_recorded,species_1,site_110,H387,None,NA,NA,NA,43,43,NA,NA,notch FLflip& hole 3RLS&,NA,NA,NA,NA,NA,NA
1999_RE_0019,7/22/1999,researcher_17,site_58,creek,net,fisher_862,not_recorded,species_1,site_113,H388,None,NA,NA,NA,44.5,44.5,NA,NA,3B-2RLS & 2LLS& 2B-2CS& 1B-3LLS,NA,NA,NA,NA,NA,NA
1999_RE_0020,8/1/1999,researcher_17,site_58,creek,net,fisher_878,not_recorded,species_1,site_110,H389,None,NA,NA,NA,44,42,NA,NA,1B-4RLS & 2LM & rear LM & LFflip,NA,NA,NA,NA,NA,NA
1999_RE_0021,8/5/1999,researcher_17,site_58,creek,net,fisher_556,not_recorded,species_1,site_113,H390,None,NA,NA,NA,54,49.5,NA,NA,smBs on all flips& 1B-2RLS& notch on rear M,NA,NA,NA,NA,NA,NA
1999_RE_0022,8/5/1999,researcher_17,site_33,creek,net,fisher_555,not_recorded,species_1,site_110,H479,None,NA,NA,NA,39.5,39.5,NA,NA,many smBs,NA,NA,NA,NA,NA,NA
