ID,error
2011_RE_0001 x Date_Caught,0.0
2011_RE_0001 x Researcher,0.0
2011_RE_0001 x CaptureSite,0.0
2011_RE_0001 x ForagingGround,0.0
2011_RE_0001 x CaptureMethod,0.0
2011_RE_0001 x Fisher,0.0
2011_RE_0001 x LandingSite,0.0
2011_RE_0001 x Species,0.0
2011_RE_0001 x ReleaseSite,0.0
2011_RE_0001 x Tag_1,0.0
2011_RE_0001 x Tag_2,0.0
2011_RE_0001 x Tag_3,0.0
2011_RE_0001 x Lost_Tags,0.0
2011_RE_0001 x T_Number,0.0
2011_RE_0001 x CCL_cm,0.0
2011_RE_0001 x CCW_cm,0.0
2011_RE_0001 x Weight_Kg,0.0
2011_RE_0001 x Sex,0.0
2011_RE_0001 x TurtleCharacteristics,0.0
2011_RE_0001 x Status,0.0
2011_RE_0001 x Date_Release,0.0
2011_RE_0001 x Release_Admiss_Notes,0.0
2011_RE_0001 x SpecialRemarks,0.0
2011_RE_0001 x PCVNumber,0.0
2011_RE_0001 x Expenditure,0.0
2011_RE_0002 x Date_Caught,0.0
2011_RE_0002 x Researcher,0.0
2011_RE_0002 x CaptureSite,0.0
2011_RE_0002 x ForagingGround,0.0
2011_RE_0002 x CaptureMethod,0.0
2011_RE_0002 x Fisher,0.0
2011_RE_0002 x LandingSite,0.0
2011_RE_0002 x Species,0.0
2011_RE_0002 x ReleaseSite,0.0
2011_RE_0002 x Tag_1,0.0
2011_RE_0002 x Tag_2,0.0
2011_RE_0002 x Tag_3,0.0
2011_RE_0002 x Lost_Tags,0.0
2011_RE_0002 x T_Number,0.0
2011_RE_0002 x CCL_cm,0.0
2011_RE_0002 x CCW_cm,0.0
2011_RE_0002 x Weight_Kg,0.0
2011_RE_0002 x Sex,0.0
2011_RE_0002 x TurtleCharacteristics,0.0
2011_RE_0002 x Status,0.0
2011_RE_0002 x Date_Release,0.0
2011_RE_0002 x Release_Admiss_Notes,0.0
2011_RE_0002 x SpecialRemarks,0.0
2011_RE_0002 x PCVNumber,0.0
2011_RE_0002 x Expenditure,0.0
2011_RE_0003 x Date_Caught,0.0
2011_RE_0003 x Researcher,0.0
2011_RE_0003 x CaptureSite,0.0
2011_RE_0003 x ForagingGround,0.0
2011_RE_0003 x CaptureMethod,0.0
2011_RE_0003 x Fisher,0.0
2011_RE_0003 x LandingSite,0.0
2011_RE_0003 x Species,0.0
2011_RE_0003 x ReleaseSite,0.0
2011_RE_0003 x Tag_1,0.0
2011_RE_0003 x Tag_2,0.0
2011_RE_0003 x Tag_3,0.0
2011_RE_0003 x Lost_Tags,0.0
2011_RE_0003 x T_Number,0.0
2011_RE_0003 x CCL_cm,0.0
2011_RE_0003 x CCW_cm,0.0
2011_RE_0003 x Weight_Kg,0.0
2011_RE_0003 x Sex,0.0
2011_RE_0003 x TurtleCharacteristics,0.0
2011_RE_0003 x Status,0.0
2011_RE_0003 x Date_Release,0.0
2011_RE_0003 x Release_Admiss_Notes,0.0
2011_RE_0003 x SpecialRemarks,0.0
2011_RE_0003 x PCVNumber,0.0
2011_RE_0003 x Expenditure,0.0
2011_RE_0004 x Date_Caught,0.0
2011_RE_0004 x Researcher,0.0
2011_RE_0004 x CaptureSite,0.0
2011_RE_0004 x ForagingGround,0.0
2011_RE_0004 x CaptureMethod,0.0
2011_RE_0004 x Fisher,0.0
2011_RE_0004 x LandingSite,0.0
2011_RE_0004 x Species,0.0
2011_RE_0004 x ReleaseSite,0.0
2011_RE_0004 x Tag_1,0.0
2011_RE_0004 x Tag_2,0.0
2011_RE_0004 x Tag_3,0.0
2011_RE_0004 x Lost_Tags,0.0
2011_RE_0004 x T_Number,0.0
2011_RE_0004 x CCL_cm,0.0
2011_RE_0004 x CCW_cm,0.0
